 Campeonato Brasileiro Série A, Santos FC, José Carlos Cracco Neto, Brazil
 Campeonato Brasileiro Série A, Santos FC, Bruno Henrique Pinto, Brazil
 Campeonato Brasileiro Série A, Santos FC, Vanderlei Farias da Silva, Brazil
 Campeonato Brasileiro Série A, Santos FC, Renato, Brazil
 Campeonato Brasileiro Série A, Santos FC, Caju, Brazil
 Campeonato Brasileiro Série A, Santos FC, Gustavo Henrique, Brazil
 Campeonato Brasileiro Série A, Santos FC, Victor Ferraz, Brazil
 Campeonato Brasileiro Série A, Santos FC, Jean Mota, Brazil
 Campeonato Brasileiro Série A, Santos FC, Serginho, Brazil
 Campeonato Brasileiro Série A, São Paulo FC, Thomaz, Brazil
 Campeonato Brasileiro Série A, São Paulo FC, Christian Cueva, Peru
 Campeonato Brasileiro Série A, São Paulo FC, Júnior Tavares, Brazil
 Campeonato Brasileiro Série A, São Paulo FC, Lucas Pratto, Argentina
 Campeonato Brasileiro Série A, São Paulo FC, Diego Lugano, Uruguay
 Campeonato Brasileiro Série A, São Paulo FC, Sidão, Brazil
 Campeonato Brasileiro Série A, São Paulo FC, Renan Ribeiro, Brazil
 Campeonato Brasileiro Série A, São Paulo FC, Maicosuel, Brazil
 Campeonato Brasileiro Série A, São Paulo FC, Bruno Vieira, Brazil
 Campeonato Brasileiro Série A, São Paulo FC, Gilberto Oliveira Souza Júnior, Brazil
 Campeonato Brasileiro Série A, São Paulo FC, Thiago Mendes, Brazil
 Campeonato Brasileiro Série A, São Paulo FC, Shaylon, Brazil
 Campeonato Brasileiro Série A, São Paulo FC, Douglas Silva Bacelar, Brazil
 Campeonato Brasileiro Série A, São Paulo FC, Wellington Nem, Brazil
 Campeonato Brasileiro Série A, São Paulo FC, Léo Natel, Brazil
 Campeonato Brasileiro Série A, São Paulo FC, Rodrigo Caio, Brazil
 Campeonato Brasileiro Série A, São Paulo FC, Edimar Fraga, Brazil
 Campeonato Brasileiro Série A, São Paulo FC, Wesley Lopes Beltrame, Brazil
 Campeonato Brasileiro Série A, São Paulo FC, Andrew Eric Feitosa, Brazil
 Campeonato Brasileiro Série A, São Paulo FC, Julio Buffarini, Argentina
 Campeonato Brasileiro Série A, São Paulo FC, Jucilei, Brazil
 Campeonato Brasileiro Série A, São Paulo FC, Felipe Araruna, Brazil
 Campeonato Brasileiro Série A, São Paulo FC, Cícero Santos, Brazil
 Campeonato Brasileiro Série A, São Paulo FC, Éder Militão, Brazil
 Campeonato Brasileiro Série A, São Paulo FC, Lucas Fernandes, Brazil
