 Major League Soccer, Chicago Fire Soccer Club, Collin Fernandez, Peru
 Major League Soccer, Chicago Fire Soccer Club, Daniel Johnson, United States
 Major League Soccer, Chicago Fire Soccer Club, João Meira, Portugal
 Major League Soccer, Chicago Fire Soccer Club, Luis Solignac, Argentina
 Major League Soccer, Chicago Fire Soccer Club, Arturo Álvarez, El Salvador
 Major League Soccer, Chicago Fire Soccer Club, Matt Lampson, United States
 Major League Soccer, Chicago Fire Soccer Club, Vitor Gomes Pereira Júnior, Brazil
 Major League Soccer, Chicago Fire Soccer Club, Stefan Cleveland, United States
 Major League Soccer, Chicago Fire Soccer Club, Brandt Bronico, United States
 Major League Soccer, Chicago Fire Soccer Club, Joey Calistri, United States
 Major League Soccer, Chicago Fire Soccer Club, Matej Dekovic, Croatia
 Major League Soccer, Chicago Fire Soccer Club, Brandon Vincent, United States
 Major League Soccer, Chicago Fire Soccer Club, David Arshakyan, Armenia
 Major League Soccer, Chicago Fire Soccer Club, Michael Harrington, United States
 Major League Soccer, Chicago Fire Soccer Club, Michael de Leeuw, Netherlands
 Major League Soccer, Chicago Fire Soccer Club, Dax McCarty, United States
 Major League Soccer, Columbus Crew SC, Marshall Hollingsworth, United States
 Major League Soccer, Columbus Crew SC, Jukka Raitala, Finland
 Major League Soccer, Columbus Crew SC, Harrison Afful, Ghana
 Major League Soccer, Columbus Crew SC, José Artur de Lima Junior, Brazil
 Major League Soccer, Columbus Crew SC, Justin Meram, Iraq
 Major League Soccer, Columbus Crew SC, Brad Stuver, United States
 Major League Soccer, Columbus Crew SC, Gastón Sauro, Argentina
 Major League Soccer, Columbus Crew SC, Niko Hansen, Denmark
 Major League Soccer, Columbus Crew SC, Zack Steffen, United States
 Major League Soccer, Columbus Crew SC, Mohammed Abu, Ghana
 Major League Soccer, Columbus Crew SC, Wil Trapp, United States
 Major League Soccer, Columbus Crew SC, Cristian Martínez, Panama
 Major League Soccer, Columbus Crew SC, Connor Maloney, United States
 Major League Soccer, Columbus Crew SC, Rodrigo Saravia, Guatemala
 Major League Soccer, Columbus Crew SC, Ethan Finlay, United States
 Major League Soccer, Columbus Crew SC, Alex Crognale, United States
 Major League Soccer, Columbus Crew SC, Dilly Duka, United States
 Major League Soccer, Columbus Crew SC, Lalas Abubakar, Ghana
 Major League Soccer, Columbus Crew SC, Jonathan Mensah, Ghana
 Major League Soccer, Columbus Crew SC, Ben Swanson, United States
 Major League Soccer, Columbus Crew SC, Abuchi Obinwa, United States
 Major League Soccer, Columbus Crew SC, Nicolai Næss, Norway
 Major League Soccer, Columbus Crew SC, Josh Williams, United States
 Major League Soccer, Columbus Crew SC, Ola Kamara, Norway
 Major League Soccer, Columbus Crew SC, Logan Ketterer, United States
 Major League Soccer, Columbus Crew SC, Federico Higuaín, Argentina
 Major League Soccer, Columbus Crew SC, Adam Jahn, United States
 Major League Soccer, Columbus Crew SC, Waylon Francis, Costa Rica
 Major League Soccer, Columbus Crew SC, Kekuta Manneh, Gambia
 Major League Soccer, Columbus Crew SC, Hector Jiménez, United States
 Major League Soccer, DC United, Chris Korb, United States
 Major League Soccer, DC United, Travis Worra, United States
 Major League Soccer, DC United, Jalen Robinson, United States
 Major League Soccer, DC United, Bill Hamid, United States
 Major League Soccer, DC United, Eric Klenofsky, United States
 Major League Soccer, DC United, Lloyd Sam, Ghana
 Major League Soccer, DC United, Patrick Mullins, United States
 Major League Soccer, DC United, Steve Birnbaum, United States
 Major League Soccer, DC United, Taylor Kemp, United States
 Major League Soccer, DC United, Ian Harkes, United States
 Major League Soccer, DC United, Sean Franklin, United States
