 Alka Superliga, FC Nordsjælland, Adnan Mohammad, Denmark
 Alka Superliga, FC Nordsjælland, Andreas Maxsø, Denmark
 Alka Superliga, FC Nordsjælland, Andreas Skovgaard, Denmark
 Alka Superliga, FC Nordsjælland, Christian Køhler, Denmark
 Alka Superliga, FC Nordsjælland, Collins Tanor, Ghana
 Alka Superliga, FC Nordsjælland, Divine Naah, Ghana
 Alka Superliga, FC Nordsjælland, Emiliano Marcondes, Denmark
 Alka Superliga, FC Nordsjælland, Ernest Asante, Ghana
 Alka Superliga, FC Nordsjælland, Godsway Donyoh, Ghana
 Alka Superliga, FC Nordsjælland, Indy Groothuizen, Holland
 Alka Superliga, FC Nordsjælland, Lasse Petry, Denmark
 Alka Superliga, FC Nordsjælland, Mads Pedersen, Denmark
 Alka Superliga, FC Nordsjælland, Mathias Jensen, Denmark
 Alka Superliga, FC Nordsjælland, Mathias Rasmussen, Norway
 Alka Superliga, FC Nordsjælland, Mohammed Fellah, Norway
 Alka Superliga, FC Nordsjælland, Pascal Gregor, Denmark
 Alka Superliga, FC Nordsjælland, Patrick Da Silva, Denmark
 Alka Superliga, FC Nordsjælland, Patrick Mtiliga, Denmark
 Alka Superliga, FC Nordsjælland, Peter Vindahl Jensen, Denmark
 Alka Superliga, FC Nordsjælland, Runar Runarsson, Iceland
 Alka Superliga, FC Nordsjælland, Stanislav Lobotka, Slovakia
 Alka Superliga, FC Nordsjælland, Tobias Mikkelsen, Denmark
 Alka Superliga, FC Nordsjælland, Viktor Tranberg, Denmark
 Alka Superliga, Lyngby BK, Alexander Munksgaard, Denmark
 Alka Superliga, Lyngby BK, Andreas Larsen, Denmark
 Alka Superliga, Lyngby BK, Bror Blume, Denmark
 Alka Superliga, Lyngby BK, Casper Höjer Nielsen, Denmark
 Alka Superliga, Lyngby BK, Danilo Arrieta, Denmark
 Alka Superliga, Lyngby BK, Emil Larsen, Denmark
 Alka Superliga, Lyngby BK, Hallgrímur Jónasson, Iceland
 Alka Superliga, Lyngby BK, Jeppe Brandrup, Denmark
 Alka Superliga, Lyngby BK, Jeppe Kjær, Denmark
 Alka Superliga, Lyngby BK, Jesper Christjansen, Denmark
 Alka Superliga, Lyngby BK, Jesper Hansen, Denmark
 Alka Superliga, Lyngby BK, Kristoffer Larsen, Norway
 Alka Superliga, Lyngby BK, Lasse Fosgaard, Denmark
 Alka Superliga, Lyngby BK, Lasse Rise, Denmark
 Alka Superliga, Lyngby BK, Mads Gabel Jørgensen, Denmark
 Alka Superliga, Lyngby BK, Mads Nordam, Denmark
 Alka Superliga, Lyngby BK, Martin Ørnskov, Denmark
 Alka Superliga, Lyngby BK, Mathias Tauber, Denmark
 Alka Superliga, Lyngby BK, Michael Lumb, Denmark
 Alka Superliga, Lyngby BK, Mikkel Rygaard Jensen, Denmark
 Alka Superliga, Lyngby BK, Philip Rasmussen, Denmark
 Alka Superliga, Lyngby BK, Thomas Christensen, Denmark
 Alka Superliga, Odense Boldklub, Anders Jacobsen, Denmark
 Alka Superliga, Odense Boldklub, Izunna Arnest Uzochukwu, Nigeria
 Alka Superliga, Odense Boldklub, Jacob Barrett Laursen, Denmark
 Alka Superliga, Odense Boldklub, Jacob Buus, Denmark
 Alka Superliga, Odense Boldklub, Jens Jakob Thomasen, Denmark
 Alka Superliga, Odense Boldklub, Jeppe Tverskov, Denmark
 Alka Superliga, Odense Boldklub, Jóan Símun Edmundsson, Faroe Islands
 Alka Superliga, Odense Boldklub, Kenneth Emil Petersen, Denmark
 Alka Superliga, Odense Boldklub, Mathias Greve, Denmark
 Alka Superliga, Odense Boldklub, Mathias Thrane, Denmark
 Alka Superliga, Odense Boldklub, Michael Falkesgaard, Denmark
 Alka Superliga, Odense Boldklub, Mikkel Desler, Denmark
 Alka Superliga, Odense Boldklub, Oliver Lund, Denmark
 Alka Superliga, Odense Boldklub, Rasmus Festersen, Denmark
 Alka Superliga, Odense Boldklub, Rasmus Jönsson, Sweden
 Alka Superliga, Odense Boldklub, Ryan Laursen, Denmark
 Alka Superliga, Odense Boldklub, Sten Michael Grytebust, Norway
 Alka Superliga, Odense Boldklub, Thomas Mikkelsen, Denmark
 Alka Superliga, Odense Boldklub, Yao Dieudonne, Côte d'Ivoire
 Alka Superliga, Randers FC, Alexander Fischer, Denmark
 Alka Superliga, Randers FC, Brandur Hendriksson, Faroe Islands
 Alka Superliga, Randers FC, Edgar Babayan, Denmark
 Alka Superliga, Randers FC, Erik Marxen, Denmark
 Alka Superliga, Randers FC, Frederik Due, Denmark
 Alka Superliga, Randers FC, Frederik Lauenborg, Denmark
 Alka Superliga, Randers FC, Hannes Þór Halldórsson, Iceland
 Alka Superliga, Randers FC, Joel Allansson, Sweden
 Alka Superliga, Randers FC, Johnny Thomsen, Denmark
 Alka Superliga, Randers FC, Jonas Bager, Denmark
 Alka Superliga, Randers FC, Joni Kauko, Finland
 Alka Superliga, Randers FC, Kasper Enghardt, Denmark
 Alka Superliga, Randers FC, Kasper Fisker, Denmark
 Alka Superliga, Randers FC, Mads Agesen, Denmark
 Alka Superliga, Randers FC, Mads Fenger, Denmark
 Alka Superliga, Randers FC, Marcus Mølvadgaard, Denmark
 Alka Superliga, Randers FC, Marvin Pourié, Germany
 Alka Superliga, Randers FC, Mikkel Kallesøe, Denmark
 Alka Superliga, Randers FC, Nicolai Poulsen, Denmark
 Alka Superliga, Randers FC, Sam Lundholm, Sweden
 Alka Superliga, Randers FC, Viktor Lundberg, Sweden
 Alka Superliga, Silkeborg IF, Andreas Albers, Denmark
 Alka Superliga, Silkeborg IF, Davit Skhirtladze, Georgia
 Alka Superliga, Silkeborg IF, Dennis Flinta, Denmark
 Alka Superliga, Silkeborg IF, Emil Lyng, Denmark
 Alka Superliga, Silkeborg IF, Emil Scheel, Denmark
 Alka Superliga, Silkeborg IF, Frank Hansen, Denmark
 Alka Superliga, Silkeborg IF, Gustav Dahl, Denmark
 Alka Superliga, Silkeborg IF, Ibrahim Moro, Ghana
 Alka Superliga, Silkeborg IF, Jens Rinke, Denmark
 Alka Superliga, Silkeborg IF, Jens-Martin Gammelby, Denmark
 Alka Superliga, Silkeborg IF, Martin Thomsen, Denmark
 Alka Superliga, Silkeborg IF, Mikkel Engvang Cramer, Denmark
 Alka Superliga, Silkeborg IF, Mikkel Vendelbo, Denmark
 Alka Superliga, Silkeborg IF, Nicklas Helenius, Denmark
 Alka Superliga, Silkeborg IF, Nicolaj Agger, Denmark
 Alka Superliga, Silkeborg IF, Niels Bisp Rasmussen, Denmark
 Alka Superliga, Silkeborg IF, Robert Skov, Denmark
 Alka Superliga, Silkeborg IF, Sammy Skytte, Denmark
 Alka Superliga, Silkeborg IF, Simon Jakobsen, Denmark
 Alka Superliga, Silkeborg IF, Thomas Nørgaard, Denmark
 Alka Superliga, SønderjyskE, Casper Olesen, Denmark
 Alka Superliga, SønderjyskE, Christian Jakobsen, Denmark
 Alka Superliga, SønderjyskE, Emmanuel Okwi, Uganda
 Alka Superliga, SønderjyskE, Erik Nissen, Denmark
 Alka Superliga, SønderjyskE, Janus Mats Drachmann, Denmark
 Hyundai A-League, Adelaide United, Johan Absalonsen, Denmark
 Alka Superliga, SønderjyskE, Kees Luijckx, Holland
 Alka Superliga, SønderjyskE, Lukas Fernandes, Denmark
 Alka Superliga, SønderjyskE, Marc Pedersen, Denmark
 Alka Superliga, SønderjyskE, Marcel Rømer, Denmark
 Alka Superliga, SønderjyskE, Marin Skender, Croatia
 Alka Superliga, SønderjyskE, Matthias Maak, Austria
 Alka Superliga, SønderjyskE, Mikael Uhre, Denmark
 Alka Superliga, SønderjyskE, Mikkel Hedegaard, Denmark
 Alka Superliga, SønderjyskE, Nicolai Laursen, Denmark
 Alka Superliga, SønderjyskE, Nicolaj Madsen, Denmark
 Alka Superliga, SønderjyskE, Nicolaj Ritter, Denmark
 Alka Superliga, SønderjyskE, Pierre Kanstrup, Denmark
 Alka Superliga, SønderjyskE, Ramon, Brazil
 Alka Superliga, SønderjyskE, Sakari Mattila, Finland
 Alka Superliga, SønderjyskE, Simon Poulsen, Denmark
 Alka Superliga, SønderjyskE, Tommy Bechmann, Denmark
 Alka Superliga, SønderjyskE, Troels Kløve, Denmark
 Alka Superliga, Viborg FF, Aleksandar Stankov, FYR Macedonia
 Alka Superliga, Viborg FF, Andreas Bruhn, Denmark
 Alka Superliga, Viborg FF, Christian Keller, Denmark
 Alka Superliga, Viborg FF, Christian Sivebæk, Denmark
 Alka Superliga, Viborg FF, George Fochive, United States
 Alka Superliga, Viborg FF, Jacob Dehn Andersen, Denmark
 Alka Superliga, Viborg FF, Jeppe Curth, Denmark
 Alka Superliga, Viborg FF, Jeppe Grønning, Denmark
 Alka Superliga, Viborg FF, Jeroen Veldmate, Holland
 Alka Superliga, Viborg FF, Jonas Kamper, Denmark
 Alka Superliga, Viborg FF, Jonas Thorsen, Denmark
 Alka Superliga, Viborg FF, Jung Bin Park, Korea Republic
 Alka Superliga, Viborg FF, Kristoffer Pallesen, Denmark
 Alka Superliga, Viborg FF, Mathias Wichmann, Denmark
 Alka Superliga, Viborg FF, Mikkel Rask, Denmark
 Alka Superliga, Viborg FF, Mikkel Vestergaard, Denmark
 Alka Superliga, Viborg FF, Oliver Thychosen, Denmark
