2. Bundesliga 2016/17,Arminia Bielefeld,Michael Görlitz
2. Bundesliga 2016/17,Arminia Bielefeld,Michal Mak
2. Bundesliga 2016/17,Arminia Bielefeld,David Ulm
2. Bundesliga 2016/17,Arminia Bielefeld,Keanu Staude
2. Bundesliga 2016/17,Arminia Bielefeld,Christopher Nöthe
2. Bundesliga 2016/17,Arminia Bielefeld,Christoph Hemlein
2. Bundesliga 2016/17,Arminia Bielefeld,Fabian Klos
2. Bundesliga 2016/17,Arminia Bielefeld,Andreas Voglsammer
2. Bundesliga 2016/17,Arminia Bielefeld,Leandro Putaro
2. Bundesliga 2016/17,Karlsruher SC,René Vollath
2. Bundesliga 2016/17,Karlsruher SC,Dirk Orlishausen
2. Bundesliga 2016/17,Karlsruher SC,Florian Stritzel
2. Bundesliga 2016/17,Karlsruher SC,Jordi Figueras
2. Bundesliga 2016/17,Karlsruher SC,Bjarne Thoelke
2. Bundesliga 2016/17,Karlsruher SC,David Kinsombi
2. Bundesliga 2016/17,Karlsruher SC,Martin Stoll
2. Bundesliga 2016/17,Karlsruher SC,Niklas Hoffmann
2. Bundesliga 2016/17,Karlsruher SC,Dennis Kempe
2. Bundesliga 2016/17,Karlsruher SC,Ylli Sallahi
2. Bundesliga 2016/17,Karlsruher SC,Enrico Valentini
2. Bundesliga 2016/17,Karlsruher SC,Matthias Bader
2. Bundesliga 2016/17,Karlsruher SC,Franck Kom
2. Bundesliga 2016/17,Karlsruher SC,Grischa Prömel
2. Bundesliga 2016/17,Karlsruher SC,Gaetan Krebs
2. Bundesliga 2016/17,Karlsruher SC,Marvin Mehlem
2. Bundesliga 2016/17,Karlsruher SC,Tim Grupp
2. Bundesliga 2016/17,Karlsruher SC,Hiroki Yamada
2. Bundesliga 2016/17,Karlsruher SC,Boubacar Barry
2. Bundesliga 2016/17,Karlsruher SC,Yann Rolim
2. Bundesliga 2016/17,Karlsruher SC,Tim Fahrenholz
2. Bundesliga 2016/17,Karlsruher SC,Moritz Stoppelkamp
2. Bundesliga 2016/17,Karlsruher SC,Manuel Torres
2. Bundesliga 2016/17,Karlsruher SC,Charalampos Mavrias
2. Bundesliga 2016/17,Karlsruher SC,Dimitrios Diamantakos
2. Bundesliga 2016/17,Karlsruher SC,Florian Kamberi
2. Bundesliga 2016/17,Karlsruher SC,Erwin Hoffer
2. Bundesliga 2016/17,Karlsruher SC,Valentino Vujinovic
2. Bundesliga 2016/17,VfL Bochum,Manuel Riemann
2. Bundesliga 2016/17,VfL Bochum,Martin Kompalla
2. Bundesliga 2016/17,VfL Bochum,Felix Dornebusch
2. Bundesliga 2016/17,VfL Bochum,Florian Kraft
2. Bundesliga 2016/17,VfL Bochum,Pawel Dawidowicz
2. Bundesliga 2016/17,VfL Bochum,Felix Bastians
2. Bundesliga 2016/17,VfL Bochum,Patrick Fabian
2. Bundesliga 2016/17,VfL Bochum,Gökhan Gül
2. Bundesliga 2016/17,VfL Bochum,Tom Baack
2. Bundesliga 2016/17,VfL Bochum,Timo Perthel
2. Bundesliga 2016/17,VfL Bochum,Jannik Bandowski
2. Bundesliga 2016/17,VfL Bochum,Nico Rieble
2. Bundesliga 2016/17,VfL Bochum,Maxim Leitsch
2. Bundesliga 2016/17,VfL Bochum,Stefano Celozzi
2. Bundesliga 2016/17,VfL Bochum,Jan Gyamerah
2. Bundesliga 2016/17,VfL Bochum,Anthony Losilla
2. Bundesliga 2016/17,VfL Bochum,Tim Hoogland
2. Bundesliga 2016/17,VfL Bochum,Tim Krafft
2. Bundesliga 2016/17,VfL Bochum,Dominik Wydra
2. Bundesliga 2016/17,VfL Bochum,Alexander Merkel
2. Bundesliga 2016/17,VfL Bochum,Russell Canouse
2. Bundesliga 2016/17,VfL Bochum,Marco Stiepermann
2. Bundesliga 2016/17,VfL Bochum,Kevin Stöger
2. Bundesliga 2016/17,VfL Bochum,Thomas Eisfeld
2. Bundesliga 2016/17,VfL Bochum,Görkem Saglam
2. Bundesliga 2016/17,VfL Bochum,Hayk Galstyan
2. Bundesliga 2016/17,VfL Bochum,Tom Weilandt
2. Bundesliga 2016/17,VfL Bochum,Selim Gündüz
2. Bundesliga 2016/17,VfL Bochum,Vangelis Pavlidis
2. Bundesliga 2016/17,VfL Bochum,Johannes Wurtz
2. Bundesliga 2016/17,VfL Bochum,Peniel Mlapa
2. Bundesliga 2016/17,VfL Bochum,Nils Quaschner
2. Bundesliga 2016/17,1. FC Union Berlin,Jakob Busk
2. Bundesliga 2016/17,1. FC Union Berlin,Michael Gspurning
2. Bundesliga 2016/17,1. FC Union Berlin,Daniel Mesenhöler
2. Bundesliga 2016/17,1. FC Union Berlin,Toni Leistner
2. Bundesliga 2016/17,1. FC Union Berlin,Roberto Puncec
2. Bundesliga 2016/17,1. FC Union Berlin,Fabian Schönheim
2. Bundesliga 2016/17,1. FC Union Berlin,Emanuel Pogatetz
2. Bundesliga 2016/17,1. FC Union Berlin,Michael Parensen
2. Bundesliga 2016/17,1. FC Union Berlin,Kristian Pedersen
2. Bundesliga 2016/17,1. FC Union Berlin,Christopher Lenz
2. Bundesliga 2016/17,1. FC Union Berlin,Benjamin Kessel
2. Bundesliga 2016/17,1. FC Union Berlin,Christopher Trimmel
2. Bundesliga 2016/17,1. FC Union Berlin,Felix Kroos
2. Bundesliga 2016/17,1. FC Union Berlin,Stephan Fürstner
2. Bundesliga 2016/17,1. FC Union Berlin,Benjamin Köhler
2. Bundesliga 2016/17,1. FC Union Berlin,Damir Kreilach
2. Bundesliga 2016/17,1. FC Union Berlin,Eroll Zejnullahu
2. Bundesliga 2016/17,1. FC Union Berlin,Dennis Daube
2. Bundesliga 2016/17,1. FC Union Berlin,Lukas Lämmel
2. Bundesliga 2016/17,1. FC Union Berlin,Simon Hedlund
2. Bundesliga 2016/17,1. FC Union Berlin,Raffael Korte
2. Bundesliga 2016/17,1. FC Union Berlin,Kenny Prince Redondo
2. Bundesliga 2016/17,1. FC Union Berlin,Adrian Nikci
2. Bundesliga 2016/17,1. FC Union Berlin,Christopher Quiring
2. Bundesliga 2016/17,1. FC Union Berlin,Maximilian Thiel
2. Bundesliga 2016/17,1. FC Union Berlin,Steven Skrzybski
2. Bundesliga 2016/17,1. FC Union Berlin,Sören Brandy
2. Bundesliga 2016/17,1. FC Union Berlin,Philipp Hosiner
2. Bundesliga 2016/17,1. FC Union Berlin,Collin Quaner
2. Bundesliga 2016/17,1. FC Nürnberg,Patrick Rakovsky
2. Bundesliga 2016/17,1. FC Nürnberg,Thorsten Kirschbaum
2. Bundesliga 2016/17,1. FC Nürnberg,Raphael Schäfer
2. Bundesliga 2016/17,1. FC Nürnberg,Dave Bulthuis
2. Bundesliga 2016/17,1. FC Nürnberg,Even Hovland
2. Bundesliga 2016/17,1. FC Nürnberg,Georg Margreitter
2. Bundesliga 2016/17,1. FC Nürnberg,Lukas Mühl
2. Bundesliga 2016/17,1. FC Nürnberg,Laszlo Sepsi
2. Bundesliga 2016/17,1. FC Nürnberg,Miso Brecko
2. Bundesliga 2016/17,1. FC Nürnberg,Hanno Behrens
2. Bundesliga 2016/17,1. FC Nürnberg,Patrick Erras
2. Bundesliga 2016/17,1. FC Nürnberg,Ondrej Petrak
2. Bundesliga 2016/17,1. FC Nürnberg,Patrick Kammerbauer
2. Bundesliga 2016/17,1. FC Nürnberg,Enis Alushi
2. Bundesliga 2016/17,1. FC Nürnberg,Willi Evseev
2. Bundesliga 2016/17,1. FC Nürnberg,Tim Leibold
2. Bundesliga 2016/17,1. FC Nürnberg,Kevin Möhwald
2. Bundesliga 2016/17,1. FC Nürnberg,Tobias Kempe
2. Bundesliga 2016/17,1. FC Nürnberg,Philipp Hercher
2. Bundesliga 2016/17,1. FC Nürnberg,Rúrik Gíslason
2. Bundesliga 2016/17,1. FC Nürnberg,Edgar Salli
2. Bundesliga 2016/17,1. FC Nürnberg,Guido Burgstaller
2. Bundesliga 2016/17,1. FC Nürnberg,Tim Matavz
2. Bundesliga 2016/17,1. FC Nürnberg,Jakub Sylvestr
2. Bundesliga 2016/17,1. FC Nürnberg,Shawn Parker
2. Bundesliga 2016/17,1. FC Nürnberg,Cedric Teuchert
2. Bundesliga 2016/17,Eintracht Braunschweig,Jasmin Fejzic
2. Bundesliga 2016/17,Eintracht Braunschweig,Marcel Engelhardt
2. Bundesliga 2016/17,Eintracht Braunschweig,Saulo Decarli
2. Bundesliga 2016/17,Eintracht Braunschweig,Joseph Baffo
2. Bundesliga 2016/17,Eintracht Braunschweig,Marcel Correia
2. Bundesliga 2016/17,Eintracht Braunschweig,Gustav Valsvik
